,D,T,G
1,0.01,280.19429718875506,-377.3205333288982
2,0.01,287.12859437751007,-26275.166768843603
3,0.01,294.0628915662651,-84834.04188081645
4,0.01,300.99718875502015,-143627.53246433212
5,0.01,307.93148594377516,-202648.672349763
6,0.01,314.86578313253017,-261891.7904585827
7,0.01,321.8000803212852,-321351.82039244653
8,0.01,328.7343775100402,-381024.0736918879
9,0.01,335.66867469879526,-440904.15145284194
10,0.01,342.60297188755027,-500987.90037426323
11,0.01,349.5372690763053,-561271.3849162639
12,0.01,356.4715662650603,-621750.8664891884
13,0.01,363.4058634538153,-682422.7864675655
14,0.01,370.34016064257037,-743283.7517163458
15,0.01,377.2744578313253,-804330.5219798511
16,0.01,384.2087550200804,-865559.9987470184
17,0.01,391.1430522088354,-926969.2153297879
18,0.01,398.0773493975904,-988555.3279601351
19,0.01,405.0116465863455,-1050315.6077551574
20,0.01,411.94594377510043,-1112247.4334303506
21,0.01,418.8802409638555,-1174348.2846639124
22,0.01,425.8145381526105,-1236615.7360321227
23,0.01,432.7488353413655,-1299047.4514493297
24,0.01,439.68313253012053,-1361641.1790565262
25,0.01,446.61742971887554,-1424394.7465109972
26,0.01,453.5517269076306,-1487306.056636227
27,0.01,460.48602409638556,-1550373.083396812
28,0.01,467.42032128514063,-1613593.8681676346
29,0.01,474.35461847389564,-1676966.5162703015
30,0.01,481.28891566265065,-1740489.1937530406
31,0.01,488.2232128514057,-1804160.1243928613
32,0.01,495.1575100401607,-1867977.5869010787
33,0.01,502.09180722891574,-1931939.9123152609
34,0.01,509.02610441767075,-1996045.4815623246
35,0.01,515.9604016064258,-2060292.7231789865
36,0.01,522.8946987951808,-2124680.1111770924
37,0.01,529.8289959839358,-2189206.1630424475
38,0.01,536.7632931726909,-2253869.4378568474
39,0.01,543.6975903614459,-2318668.5345338467
40,0.01,550.6318875502009,-2383602.090159678
41,0.01,557.5661847389558,-2448668.77843144
42,0.01,564.5004819277109,-2513867.3081853217
43,0.01,571.434779116466,-2579196.42200826
44,0.01,578.3690763052209,-2644654.894926948
45,0.01,585.303373493976,-2710241.5331686283
46,0.01,592.237670682731,-2775955.1729885205
47,0.01,599.171967871486,-2841794.6795592033
48,0.01,606.106265060241,-2907758.945917592
49,0.01,613.040562248996,-2973846.8919655136
50,0.01,619.9748594377511,-3040057.463520242
51,0.01,626.909156626506,-3106389.6314115613
52,0.01,633.8434538152611,-3172842.3906222912
53,0.01,640.7777510040162,-3239414.759469344
54,0.01,647.7120481927711,-3306105.778822718
55,0.01,654.6463453815261,-3372914.5113599543
56,0.01,661.5806425702813,-3439840.040853804
57,0.01,668.5149397590362,-3506881.4714910313
58,0.01,675.4492369477912,-3574037.9272204484
59,0.01,682.3835341365462,-3641308.5511283795
60,0.01,689.3178313253013,-3708692.5048399237
61,0.01,696.2521285140563,-3776188.9679445284
62,0.01,703.1864257028113,-3843797.13744444
63,0.01,710.1207228915664,-3911516.227224748
64,0.01,717.0550200803214,-3979345.4675438255
65,0.01,723.9893172690763,-4047284.104543064
66,0.01,730.9236144578314,-4115331.3997748396
67,0.01,737.8579116465864,-4183486.6297477963
68,0.01,744.7922088353414,-4251749.085488529
69,0.01,751.7265060240965,-4320118.072118858
70,0.01,758.6608032128515,-4388592.908447924
71,0.01,765.5951004016065,-4457172.92657838
72,0.01,772.5293975903614,-4525857.471526045
73,0.01,779.4636947791166,-4594645.900852362
74,0.01,786.3979919678716,-4663537.584309104
75,0.01,793.3322891566265,-4732531.9034947995
76,0.01,800.2665863453817,-4801628.251522342
77,0.01,807.2008835341367,-4870826.032697316
78,0.01,814.1351807228916,-4940124.662206641
79,0.01,821.0694779116466,-5009523.565817031
80,0.01,828.0037751004018,-5079022.179582973
81,0.01,834.9380722891567,-5148619.949563769
82,0.01,841.8723694779117,-5218316.331549365
83,0.01,848.8066666666668,-5288110.790794598
84,0.01,855.7409638554218,-5358002.801761547
85,0.01,862.6752610441768,-5427991.847869735
86,0.01,869.6095582329317,-5498077.421253853
87,0.01,876.5438554216869,-5568259.022528789
88,0.01,883.4781526104418,-5638536.160561661
89,0.01,890.4124497991968,-5708908.352250683
90,0.01,897.346746987952,-5779375.122310564
91,0.01,904.2810441767069,-5849936.003064267
92,0.01,911.2153413654619,-5920590.534240932
93,0.01,918.1496385542168,-5991338.262779716
94,0.01,925.083935742972,-6062178.742639411
95,0.01,932.018232931727,-6133111.534613623
96,0.01,938.9525301204819,-6204136.20615138
97,0.01,945.8868273092371,-6275252.331182939
98,0.01,952.8211244979921,-6346459.4899507
99,0.01,959.755421686747,-6417757.268845024
100,0.01,966.6897188755022,-6489145.260244838
101,0.01,973.6240160642571,-6560623.062362848
102,0.01,980.5583132530121,-6632190.279095273
