,P,T,U
101,10101615.675459474,290.70080808080814,73131.98728601636
102,10101615.675459474,308.1416161616162,145527.39190471993
103,10101615.675459474,325.5824242424243,217952.33980408913
104,10101615.675459474,343.0232323232324,290483.37749248743
105,10101615.675459474,360.4640404040405,363179.80047697376
106,10101615.675459474,377.90484848484857,436116.45232334925
107,10101615.675459474,395.3456565656566,509391.8946118886
108,10101615.675459474,412.7864646464647,583128.9949382152
109,10101615.675459474,430.2272727272728,657475.4311930401
110,10101615.675459474,447.66808080808084,732607.1420771827
111,10101615.675459474,465.10888888888894,808736.2709071737
112,10101615.675459474,482.54969696969704,886125.4182827022
113,10101615.675459474,499.99050505050513,965111.7664917128
114,10101615.675459474,517.4313131313132,1046148.7841905135
115,10101615.675459474,534.8721212121213,1129883.1636970511
116,10101615.675459474,552.3129292929293,1217311.5990935196
117,10101615.675459474,569.7537373737375,1310149.3475318248
118,10101615.675459474,587.1945454545455,2556384.2715110886
119,10101615.675459474,604.6353535353536,2633440.201861814
120,10101615.675459474,622.0761616161617,2693555.7208621553
121,10101615.675459474,639.5169696969698,2745135.830306805
122,10101615.675459474,656.9577777777779,2791500.9271059954
123,10101615.675459474,674.3985858585859,2834389.074273389
124,10101615.675459474,691.8393939393941,2874836.6898110975
125,10101615.675459474,709.2802020202021,2913511.9079385404
126,10101615.675459474,726.7210101010103,2950869.267074609
127,10101615.675459474,744.1618181818183,2987230.7286421405
128,10101615.675459474,761.6026262626264,3022831.738533886
129,10101615.675459474,779.0434343434345,3057849.035466278
130,10101615.675459474,796.4842424242424,3092418.235512835
131,10101615.675459474,813.9250505050506,3126645.3717723703
132,10101615.675459474,831.3658585858586,3160614.7025018106
133,10101615.675459474,848.8066666666668,3194394.1330152526
134,10101615.675459474,866.2474747474748,3228039.0658959327
135,10101615.675459474,883.688282828283,3261595.1895761755
136,10101615.675459474,901.129090909091,3295100.533918865
137,10101615.675459474,918.569898989899,3328587.009817997
138,10101615.675459474,936.0107070707072,3362081.579248435
139,10101615.675459474,953.4515151515152,3395607.156471031
140,10101615.675459474,970.8923232323234,3429183.310848402
141,10101615.675459474,988.3331313131314,3462826.8213320817
142,10101615.675459474,1005.7739393939396,3496552.1186970277
143,10101615.675459474,1023.2147474747476,3530371.641861142
144,10101615.675459474,1040.6555555555556,3564296.127750013
145,10101615.675459474,1058.0963636363638,3598334.8492465513
146,10101615.675459474,1075.5371717171718,3632495.8122023093
147,10101615.675459474,1092.97797979798,3666785.9198784637
148,10101615.675459474,1110.418787878788,3701211.1112542613
149,10101615.675459474,1127.8595959595962,3735776.47819861
150,10101615.675459474,1145.3004040404041,3770486.3654132234
151,10101615.675459474,1162.7412121212124,3805344.4562288225
152,10101615.675459474,1180.1820202020203,3840353.8467019345
153,10101615.675459474,1197.6228282828283,3875517.1099700914
154,10101615.675459474,1215.0636363636365,3910836.35244201
155,10101615.675459474,1232.5044444444445,3946313.2631007624
156,10101615.675459474,1249.9452525252527,3981949.1569623468
157,10101615.675459474,1267.3860606060607,4017745.0135450913
158,10101615.675459474,1284.826868686869,4053701.51105612
159,10101615.675459474,1302.267676767677,4089819.056881146
160,10101615.675459474,1319.7084848484849,4126097.8148671673
161,10101615.675459474,1337.149292929293,4162537.7298089475
162,10101615.675459474,1354.590101010101,4199138.549486138
163,10101615.675459474,1372.0309090909093,4235899.844545224
164,10101615.675459474,1389.4717171717173,4272821.026477183
165,10101615.675459474,1406.9125252525253,4309901.363905816
166,10101615.675459474,1424.3533333333335,4347139.997371842
167,10101615.675459474,1441.7941414141414,4384535.952772852
168,10101615.675459474,1459.2349494949497,4422088.153598298
169,10101615.675459474,1476.6757575757576,4459795.432080949
170,10101615.675459474,1494.1165656565659,4497656.539371244
