T,P,U
281.21686635944707,4608903.866069095,33824.47913340436
281.21686635944707,9217195.977337293,33737.457761124446
281.21686635944707,13825488.088605491,33645.3918301624
281.21686635944707,18433780.19987369,33548.44078018027
281.21686635944707,23042072.31114189,33446.76356302482
281.21686635944707,27650364.422410086,33340.51857210406
281.21686635944707,32258656.533678282,33229.86358206859
281.21686635944707,36866948.64494648,33114.95568927882
281.21686635944707,41475240.75621468,32995.95124598236
281.21686635944707,46083532.86748288,32873.00578473961
281.21686635944707,50691824.97875107,32746.273930614978
281.21686635944707,55300117.09001927,32615.90930085642
281.21686635944707,59908409.20128747,32482.064393345838
281.21686635944707,64516701.31255566,32344.890462965428
281.21686635944707,69124993.42382388,32204.537390981262
281.21686635944707,73733285.53509207,32061.153546642574
281.21686635944707,78341577.64636026,31914.88564610195
281.21686635944707,82949869.75762847,31765.87860956612
281.21686635944707,87558161.86889666,31614.275418239205
281.21686635944707,92166453.98016487,31460.216976162374
281.21686635944707,96774746.09143306,31303.84197509392
281.21686635944707,101383038.20270126,31145.28676708045
281.21686635944707,105991330.31396946,30984.685244512842
281.21686635944707,110599622.42523766,30822.168729051977
281.21686635944707,115207914.53650585,30657.86587079901
281.21686635944707,119816206.64777406,30491.90255754994
281.21686635944707,124424498.75904225,30324.40183479716
281.21686635944707,129032790.87031044,30155.48383717124
281.21686635944707,133641082.98157865,29985.265730036812
281.21686635944707,138249375.09284684,29813.861663181564
281.21686635944707,142857667.20411503,29641.382733598275
281.21686635944707,147465959.31538323,29467.936959525745
281.21686635944707,152074251.42665142,29293.629263855957
281.21686635944707,156682543.5379196,29118.561466367024
281.21686635944707,161290835.64918783,28942.83228557277
281.21686635944707,165899127.76045603,28766.537347400175
281.21686635944707,170507419.87172422,28589.769202245003
281.21686635944707,175115711.9829924,28412.61734840893
281.21686635944707,179724004.0942606,28235.168261767358
281.21686635944707,184332296.20552883,28057.505431131918
281.21686635944707,188940588.31679702,27879.709398510593
281.21686635944707,193548880.4280652,27701.8578039766
281.21686635944707,198157172.5393334,27524.02543412952
281.21686635944707,202765464.6506016,27346.284274249552
281.21686635944707,207373756.7618698,27168.70356328946
281.21686635944707,211982048.873138,26991.34985116166
281.21686635944707,216590340.9844062,26814.287058089834
281.21686635944707,221198633.0956744,26637.57653589843
281.21686635944707,225806925.2069426,26461.27713007724
281.21686635944707,230415217.31821078,26285.445243275673
281.21686635944707,235023509.429479,26110.134898980064
281.21686635944707,239631801.5407472,25935.39780619973
281.21686635944707,244240093.6520154,25761.283423540815
281.21686635944707,248848385.76328358,25587.839023838773
281.21686635944707,253456677.87455177,25415.10975817731
281.21686635944707,258064969.98581997,25243.138719268332
281.21686635944707,262673262.0970882,25071.96700496084
281.21686635944707,267281554.20835638,24901.633779926953
281.21686635944707,271889846.3196246,24732.176337493893
281.21686635944707,276498138.4308928,24563.630159931352
281.21686635944707,281106430.542161,24396.028977791677
281.21686635944707,285714722.6534292,24229.404828210798
281.21686635944707,290323014.7646974,24063.78811197599
281.21686635944707,294931306.8759656,23899.207649372172
281.21686635944707,299539598.9872338,23735.69073467354
281.21686635944707,304147891.098502,23573.263189392783
281.21686635944707,308756183.2097702,23411.949414337203
281.21686635944707,313364475.32103837,23251.77244001919
281.21686635944707,317972767.4323066,23092.7539760174
281.21686635944707,322581059.5435748,22934.91445866998
281.21686635944707,327189351.654843,22778.273097784044
281.21686635944707,331797643.7661112,22622.847921670273
281.21686635944707,336405935.87737936,22468.65582106726
281.21686635944707,341014227.9886476,22315.712591512452
281.21686635944707,345622520.0999158,22164.032974754824
281.21686635944707,350230812.21118397,22013.630698526642
281.21686635944707,354839104.3224522,21864.518515188203
281.21686635944707,359447396.43372035,21716.708239270196
281.21686635944707,364055688.5449886,21570.210783595103
281.21686635944707,368663980.6562568,21425.036194290886
281.21686635944707,373272272.76752496,21281.19368465753
281.21686635944707,377880564.8787932,21138.691667921812
281.21686635944707,382488856.99006134,20997.53778877601
281.21686635944707,387097149.10132957,20857.738953987355
281.21686635944707,391705441.2125977,20719.301361904047
281.21686635944707,396313733.32386595,20582.230530827106
281.21686635944707,400922025.4351342,20446.53132654927
281.21686635944707,405530317.54640234,20312.207988946986
281.21686635944707,410138609.65767056,20179.264157420403
281.21686635944707,414746901.7689387,20047.70289577077
281.21686635944707,419355193.88020694,19917.526715739623
281.21686635944707,423963485.99147516,19788.737600338452
281.21686635944707,428571778.1027433,19661.337025640434
281.21686635944707,433180070.21401155,19535.32598229919
281.21686635944707,437788362.3252797,19410.704996151937
281.21686635944707,442396654.43654794,19287.474147922894
281.21686635944707,447004946.54781616,19165.633092501463
281.21686635944707,451613238.6590843,19045.181077213296
281.21686635944707,456221530.77035254,18926.11695969214
281.21686635944707,460829822.8816207,18808.43922484952
281.21686635944707,465438114.9928889,18692.146001548223
281.21686635944707,470046407.10415715,18577.235078189497
281.21686635944707,474654699.2154253,18463.703918356263
281.21686635944707,479262991.32669353,18351.54967522289
281.21686635944707,483871283.4379617,18240.76920591378
281.21686635944707,488479575.5492299,18131.359085146327
281.21686635944707,493087867.66049814,18023.31561829238
281.21686635944707,497696159.7717663,17916.63485421222
281.21686635944707,502304451.8830345,17811.312597289503
281.21686635944707,506912743.9943027,17707.344419245575
281.21686635944707,511521036.1055709,17604.725670503096
281.21686635944707,516129328.2168391,17503.451490976477
281.21686635944707,520737620.3281073,17403.51682059121
281.21686635944707,525345912.4393755,17304.91640943212
281.21686635944707,529954204.5506437,17207.644827310978
281.21686635944707,534562496.6619119,17111.696473328833
281.21686635944707,539170788.7731801,17017.06558461973
281.21686635944707,543779080.8844483,16923.746245260252
281.21686635944707,548387372.9957165,16831.732394442715
281.21686635944707,552995665.1069847,16741.017834514932
281.21686635944707,557603957.2182529,16651.596238768776
281.21686635944707,562212249.3295211,16563.461158795893
281.21686635944707,566820541.4407893,16476.60603170516
281.21686635944707,571428833.5520575,16391.02418688052
281.21686635944707,576037125.6633257,16306.708852708276
281.21686635944707,580645417.7745938,16223.653162890601
281.21686635944707,585253709.8858621,16141.850162567815
281.21686635944707,589862001.9971303,16061.292814213048
281.21686635944707,594470294.1083984,15981.974003246574
281.21686635944707,599078586.2196667,15903.886543513232
281.21686635944707,603686878.3309349,15827.023182589846
281.21686635944707,608295170.442203,15751.376606619975
281.21686635944707,612903462.5534712,15676.939445391597
281.21686635944707,617511754.6647395,15603.704276750374
281.21686635944707,622120046.7760077,15531.663631235453
