,T,P,U
221,281.14420091324206,4566819.006605459,33521.445043137115
222,281.14420091324206,9133026.258410022,33436.56026079021
223,281.14420091324206,13699233.510214584,33346.67628677196
224,281.14420091324206,18265440.762019146,33251.950069976294
225,281.14420091324206,22831648.013823707,33152.53801508861
226,281.14420091324206,27397855.26562827,33048.59591847905
227,281.14420091324206,31964062.517432835,32940.278913233604
228,281.14420091324206,36530269.76923739,32827.74141481614
229,281.14420091324206,41096477.02104195,32711.13706231911
230,281.14420091324206,45662684.27284651,32590.61864924204
231,281.14420091324206,50228891.52465108,32466.338044128523
232,281.14420091324206,54795098.77645564,32338.44609796223
233,281.14420091324206,59361306.0282602,32207.092541102968
234,281.14420091324206,63927513.28006477,32072.42586875882
235,281.14420091324206,68493720.53186934,31934.593219482173
236,281.14420091324206,73059927.7836739,31793.74024494062
237,281.14420091324206,77626135.03547846,31650.01097835518
238,281.14420091324206,82192342.28728302,31503.54769843669
239,281.14420091324206,86758549.53908758,31354.49079588427
240,281.14420091324206,91324756.79089214,31202.97864098696
241,281.14420091324206,95890964.04269671,31049.147455805996
242,281.14420091324206,100457171.29450127,30893.131192205597
243,281.14420091324206,105023378.54630584,30735.061417377357
244,281.14420091324206,109589585.7981104,30575.067207153777
245,281.14420091324206,114155793.04991496,30413.27504853689
246,281.14420091324206,118722000.30171952,30249.808752630783
247,281.14420091324206,123288207.55352408,30084.789376052442
248,281.14420091324206,127854414.80532865,29918.335155037457
249,281.14420091324206,132420622.05713321,29750.561447653414
250,281.14420091324206,136986829.30893776,29581.580687673486
251,281.14420091324206,141553036.56074232,29411.502348025588
252,281.14420091324206,146119243.81254688,29240.43291408663
253,281.14420091324206,150685451.06435144,29068.475865896304
254,281.14420091324206,155251658.316156,28895.731670097986
255,281.14420091324206,159817865.56796056,28722.297778822296
256,281.14420091324206,164384072.81976512,28548.26863783241
257,281.14420091324206,168950280.07156968,28373.735700736783
258,281.14420091324206,173516487.32337424,28198.787450476357
259,281.14420091324206,178082694.5751788,28023.509426316275
260,281.14420091324206,182648901.82698336,27847.984256885586
261,281.14420091324206,187215109.07878795,27672.291697710854
262,281.14420091324206,191781316.3305925,27496.50867313647
263,281.14420091324206,196347523.58239707,27320.70932224605
264,281.14420091324206,200913730.83420163,27144.96504830578
265,281.14420091324206,205479938.0860062,26969.3445705601
266,281.14420091324206,210046145.33781075,26793.913979006873
267,281.14420091324206,214612352.58961532,26618.73679104579
268,281.14420091324206,219178559.84141988,26443.87400970399
269,281.14420091324206,223744767.09322444,26269.384183387345
270,281.14420091324206,228310974.345029,26095.323466368925
271,281.14420091324206,232877181.59683356,25921.745680496562
272,281.14420091324206,237443388.84863812,25748.702376601686
273,281.14420091324206,242009596.10044268,25576.242896889926
274,281.14420091324206,246575803.35224724,25404.414436738294
275,281.14420091324206,251142010.6040518,25233.26210668338
276,281.14420091324206,255708217.8558564,25062.828993671857
277,281.14420091324206,260274425.10766095,24893.15622226141
278,281.14420091324206,264840632.3594655,24724.28301466036
279,281.14420091324206,269406839.61127007,24556.246750256734
280,281.14420091324206,273973046.86307466,24389.083024292104
281,281.14420091324206,278539254.1148792,24222.825705416642
282,281.14420091324206,283105461.3666838,24057.506992339368
283,281.14420091324206,287671668.6184883,23893.1574691755
284,281.14420091324206,292237875.8702929,23729.806159869957
285,281.14420091324206,296804083.1220975,23567.480581276246
286,281.14420091324206,301370290.373902,23406.206795055834
287,281.14420091324206,305936497.6257066,23246.00945827456
288,281.14420091324206,310502704.87751114,23086.91187263277
289,281.14420091324206,315068912.12931573,22928.936032768655
290,281.14420091324206,319635119.38112026,22772.102672788627
291,281.14420091324206,324201326.63292485,22616.43131184363
292,281.14420091324206,328767533.8847294,22461.940298218127
293,281.14420091324206,333333741.136534,22308.646852351518
294,281.14420091324206,337899948.3883385,22156.56710830592
295,281.14420091324206,342466155.6401431,22005.71615431171
296,281.14420091324206,347032362.8919476,21856.108071722334
297,281.14420091324206,351598570.1437522,21707.755973099367
298,281.14420091324206,356164777.39555675,21560.67203874929
299,281.14420091324206,360730984.64736134,21414.867552433752
300,281.14420091324206,365297191.89916587,21270.352935675863
301,281.14420091324206,369863399.15097046,21127.13778100599
302,281.14420091324206,374429606.40277505,20985.23088415507
303,281.14420091324206,378995813.6545796,20844.64027524416
304,281.14420091324206,383562020.90638417,20705.37324868759
305,281.14420091324206,388128228.1581887,20567.436392316464
306,281.14420091324206,392694435.4099933,20430.83561539347
307,281.14420091324206,397260642.6617978,20295.576175705384
308,281.14420091324206,401826849.9136024,20161.66270570942
309,281.14420091324206,406393057.16540694,20029.09923777297
310,281.14420091324206,410959264.41721153,19897.889228479904
311,281.14420091324206,415525471.66901606,19768.035582235294
312,281.14420091324206,420091678.92082065,19639.540673830867
313,281.14420091324206,424657886.1726252,19512.40637038503
314,281.14420091324206,429224093.4244298,19386.63405241281
315,281.14420091324206,433790300.6762343,19262.22463418871
316,281.14420091324206,438356507.9280389,19139.17858329916
317,281.14420091324206,442922715.1798435,19017.495939661567
318,281.14420091324206,447488922.431648,18897.1763336898
