,T,D,S
150,284.84818791946316,0.01,8879.916097906513
151,284.84818791946316,8.063691275167786,187.3485583238023
152,284.84818791946316,16.117382550335574,181.71498960252373
153,284.84818791946316,24.17107382550336,179.8355795575343
154,284.84818791946316,32.22476510067114,178.8955829254593
155,284.84818791946316,40.27845637583893,178.3314915963974
156,284.84818791946316,48.332147651006714,177.9553918065515
157,284.84818791946316,56.3858389261745,177.68673004205942
158,284.84818791946316,64.4395302013423,177.48522329567194
159,284.84818791946316,72.49322147651007,177.32848964922994
160,284.84818791946316,80.54691275167787,177.20309884034066
161,284.84818791946316,88.60060402684566,177.1005037871831
162,284.84818791946316,96.65429530201344,177.01500614044514
163,284.84818791946316,104.70798657718122,176.94266072161432
164,284.84818791946316,112.76167785234901,176.88064944607638
165,284.84818791946316,120.8153691275168,176.82690565624608
166,284.84818791946316,128.86906040268457,176.7798793188423
167,284.84818791946316,136.92275167785235,176.73838508766056
168,284.84818791946316,144.97644295302013,176.70150100859502
169,284.84818791946316,153.03013422818793,176.6684992104575
170,284.84818791946316,161.0838255033557,176.6387973872603
171,284.84818791946316,169.1375167785235,176.61192414188423
172,284.84818791946316,177.1912080536913,176.58749378094015
173,284.84818791946316,185.24489932885908,176.5651876845291
174,284.84818791946316,193.29859060402686,176.54474033332136
175,284.84818791946316,201.35228187919463,176.52592868897017
176,284.84818791946316,209.4059731543624,176.50856402508185
177,284.84818791946316,217.45966442953022,176.4924855734428
178,284.84818791946316,225.513355704698,176.47755553170856
179,284.84818791946316,233.56704697986578,176.46365510394094
180,284.84818791946316,241.6207382550336,176.45068133300452
181,284.84818791946316,249.67442953020137,176.4385445460235
182,284.84818791946316,257.72812080536914,176.42716627879668
183,284.84818791946316,265.78181208053695,176.41647757757718
184,284.84818791946316,273.8355033557047,176.4064176005275
185,284.84818791946316,281.8891946308725,176.39693245891624
186,284.84818791946316,289.94288590604026,176.3879742514424
187,284.84818791946316,297.99657718120807,176.37950025515008
188,284.84818791946316,306.0502684563759,176.37147224408992
189,284.84818791946316,314.1039597315436,176.3638559127977
190,284.84818791946316,322.15765100671143,176.35662038624932
191,284.84818791946316,330.21134228187924,176.34973780152683
192,284.84818791946316,338.265033557047,176.34318294924498
193,284.84818791946316,346.3187248322148,176.33693296501016
194,284.84818791946316,354.3724161073826,176.3309670629511
195,284.84818791946316,362.42610738255036,176.3252663047786
196,284.84818791946316,370.47979865771816,176.31981339896694
197,284.84818791946316,378.5334899328859,176.31459252557053
198,284.84818791946316,386.5871812080537,176.30958918293845
199,284.84818791946316,394.64087248322153,176.30479005319827
200,284.84818791946316,402.6945637583893,176.30018288388067
201,284.84818791946316,410.7482550335571,176.295756383471
202,284.84818791946316,418.80194630872484,176.29150012901192
203,284.84818791946316,426.85563758389264,176.28740448416593
204,284.84818791946316,434.90932885906045,176.28346052638196
205,284.84818791946316,442.9630201342282,176.279659982007
206,284.84818791946316,451.016711409396,176.27599516835016
207,284.84818791946316,459.0704026845638,176.27245894184517
208,284.84818791946316,467.12409395973157,176.26904465157475
209,284.84818791946316,475.1777852348994,176.26574609752186
210,284.84818791946316,483.2314765100672,176.26255749299537
211,284.84818791946316,491.28516778523493,176.25947343075163
212,284.84818791946316,499.33885906040274,176.25648885239434
213,284.84818791946316,507.3925503355705,176.253599020689
214,284.84818791946316,515.4462416107383,176.25079949447243
215,284.84818791946316,523.4999328859061,176.2480861058786
216,284.84818791946316,531.5536241610739,176.2454549396347
217,284.84818791946316,539.6073154362416,176.2429023142112
218,284.84818791946316,547.6610067114094,176.24042476463512
219,284.84818791946316,555.7146979865772,176.23801902679804
220,284.84818791946316,563.768389261745,176.2356820231085
221,284.84818791946316,571.8220805369128,176.2334108493575
222,284.84818791946316,579.8757718120805,176.23120276267832
223,284.84818791946316,587.9294630872483,176.22905517049568
224,284.84818791946316,595.9831543624161,176.22696562037106
225,284.84818791946316,604.036845637584,176.22493179066063
226,284.84818791946316,612.0905369127518,176.22295148191026
227,284.84818791946316,620.1442281879196,176.22102260892137
228,284.84818791946316,628.1979194630873,176.21914319342696
229,284.84818791946316,636.2516107382551,176.2173113573238
230,284.84818791946316,644.3053020134229,176.21552531641248
231,284.84818791946316,652.3589932885907,176.21378337460075
232,284.84818791946316,660.4126845637585,176.2120839185313
233,284.84818791946316,668.4663758389262,176.21042541259797
234,284.84818791946316,676.520067114094,176.20880639431738
235,284.84818791946316,684.5737583892618,176.2072254700281
236,284.84818791946316,692.6274496644296,176.2056813108892
237,284.84818791946316,700.6811409395974,176.20417264915486
238,284.84818791946316,708.7348322147652,176.20269827470347
239,284.84818791946316,716.7885234899329,176.20125703179997
240,284.84818791946316,724.8422147651007,176.1998478160747
241,284.84818791946316,732.8959060402685,176.19846957170103
242,284.84818791946316,740.9495973154363,176.1971212887572
243,284.84818791946316,749.0032885906041,176.19580200075833
244,284.84818791946316,757.0569798657718,176.19451078234616
245,284.84818791946316,765.1106711409396,176.19324674712422
246,284.84818791946316,773.1643624161075,176.1920090456288
247,284.84818791946316,781.2180536912753,176.19079686342513
248,284.84818791946316,789.2717449664431,176.18960941932036
249,284.84818791946316,797.3254362416108,176.18844596368453
250,284.84818791946316,805.3791275167786,176.18730577687253
251,284.84818791946316,813.4328187919464,176.1861881677396
252,284.84818791946316,821.4865100671142,176.1850924722445
253,284.84818791946316,829.540201342282,176.18401805213358
254,284.84818791946316,837.5938926174497,176.1829642937012
255,284.84818791946316,845.6475838926175,176.18193060662063
256,284.84818791946316,853.7012751677853,176.18091642284148
257,284.84818791946316,861.7549664429531,176.17992119554847
258,284.84818791946316,869.8086577181209,176.17894439817866
259,284.84818791946316,877.8623489932887,176.17798552349217
260,284.84818791946316,885.9160402684564,176.1770440826941
261,284.84818791946316,893.9697315436242,176.17611960460354
262,284.84818791946316,902.023422818792,176.1752116348673
263,284.84818791946316,910.0771140939598,176.1743197352153
264,284.84818791946316,918.1308053691276,176.1734434827552
265,284.84818791946316,926.1844966442953,176.17258246930376
266,284.84818791946316,934.2381879194631,176.17173630075297
267,284.84818791946316,942.291879194631,176.17090459646832
268,284.84818791946316,950.3455704697988,176.17008698871814
269,284.84818791946316,958.3992617449666,176.16928312213128
270,284.84818791946316,966.4529530201344,176.16849265318226
271,284.84818791946316,974.5066442953021,176.16771524970164
272,284.84818791946316,982.5603355704699,176.16695059041064
273,284.84818791946316,990.6140268456377,176.16619836447853
274,284.84818791946316,998.6677181208055,176.1654582711013
275,284.84818791946316,1006.7214093959733,174.2033839159217
276,284.84818791946316,1014.775100671141,171.34874678454597
277,284.84818791946316,1022.8287919463088,167.78094542930097
278,284.84818791946316,1030.8824832214766,163.49586664190437
279,284.84818791946316,1038.9361744966443,158.492888335605
280,284.84818791946316,1046.9898657718122,152.7753000725931
281,284.84818791946316,1055.04355704698,146.35048876927803
282,284.84818791946316,1063.0972483221478,139.22986936149405
283,284.84818791946316,1071.1509395973155,131.4285833287388
284,284.84818791946316,1079.2046308724832,122.96501150209647
285,284.84818791946316,1087.2583221476511,113.86015655485109
286,284.84818791946316,1095.3120134228188,104.13695007848347
287,284.84818791946316,1103.3657046979868,93.8195332434318
288,284.84818791946316,1111.4193959731545,82.93255153929184
289,284.84818791946316,1119.4730872483221,71.50049485153903
290,284.84818791946316,1127.52677852349,59.54710522674374
291,284.84818791946316,1135.5804697986578,47.09486669875554
292,284.84818791946316,1143.6341610738257,34.16458476117356
293,284.84818791946316,1151.6878523489934,20.775057536712886
294,284.84818791946316,1159.741543624161,6.942836367238192
300,296.4363758389262,0.01,8936.468647246005
301,296.4363758389262,8.063691275167786,364.37006713220774
302,296.4363758389262,16.117382550335574,353.66491561313495
303,296.4363758389262,24.17107382550336,350.09357916665004
304,296.4363758389262,32.22476510067114,348.3073568142409
305,296.4363758389262,40.27845637583893,347.23544601542636
306,296.4363758389262,48.332147651006714,346.5207648895204
307,296.4363758389262,56.3858389261745,346.0102421572058
308,296.4363758389262,64.4395302013423,345.62733030169846
309,296.4363758389262,72.49322147651007,345.3294982317778
310,296.4363758389262,80.54691275167787,345.0912251805965
311,296.4363758389262,88.60060402684566,344.89626961273217
312,296.4363758389262,96.65429530201344,344.73380327777886
313,296.4363758389262,104.70798657718122,344.5963293764897
314,296.4363758389262,112.76167785234901,344.47849286230695
315,296.4363758389262,120.8153691275168,344.3763665828902
316,296.4363758389262,128.86906040268457,344.28700509779935
317,296.4363758389262,136.92275167785235,344.20815596078796
318,296.4363758389262,144.97644295302013,344.13806723469384
319,296.4363758389262,153.03013422818793,344.0753557871296
320,296.4363758389262,161.0838255033557,344.0189150950124
321,296.4363758389262,169.1375167785235,343.9678493890996
322,296.4363758389262,177.1912080536913,343.9214257580921
323,296.4363758389262,185.24489932885908,343.8790387466446
324,296.4363758389262,193.29859060402686,343.8401838034155
325,296.4363758389262,201.35228187919463,343.8044371012688
326,296.4363758389262,209.4059731543624,343.7714400141293
327,296.4363758389262,217.45966442953022,343.74088704326766
328,296.4363758389262,225.513355704698,343.71251633069477
329,296.4363758389262,233.56704697986578,343.6861021352186
330,296.4363758389262,241.6207382550336,343.6614488132269
331,296.4363758389262,249.67442953020137,343.63838596443344
332,296.4363758389262,257.72812080536914,343.6167644877614
333,296.4363758389262,265.78181208053695,343.5964533543115
334,296.4363758389262,273.8355033557047,343.5773369497865
335,296.4363758389262,281.8891946308725,343.55931287248274
336,296.4363758389262,289.94288590604026,343.5422900982713
337,296.4363758389262,297.99657718120807,343.5261874431394
338,296.4363758389262,306.0502684563759,343.5109322684805
339,296.4363758389262,314.1039597315436,343.49645938556444
340,296.4363758389262,322.15765100671143,343.4827101243318
341,296.4363758389262,330.21134228187924,343.469631538458
342,296.4363758389262,338.265033557047,343.4571757239763
343,296.4363758389262,346.3187248322148,343.4452992329746
