,T,P,D
251,280.19429718875506,4016673.554580813,1001.7956705861587
252,280.19429718875506,8032735.3543607285,1003.7209677752177
253,280.19429718875506,12048797.154140644,1005.6293959099754
254,280.19429718875506,16064858.95392056,1007.521165889831
255,280.19429718875506,20080920.753700476,1009.3964815704818
256,280.19429718875506,24096982.55348039,1011.2555406095082
257,280.19429718875506,28113044.35326031,1013.0985352521369
258,280.19429718875506,32129106.153040223,1014.9256530546463
259,280.19429718875506,36145167.95282014,1016.7370775469425
260,280.19429718875506,40161229.75260005,1018.5329888310872
261,280.19429718875506,44177291.552379966,1020.3135641195041
262,280.19429718875506,48193353.35215988,1022.0789782117123
263,280.19429718875506,52209415.151939794,1023.8294039125352
264,280.19429718875506,56225476.951719716,1025.565012394811
265,280.19429718875506,60241538.75149963,1027.2859735082866
266,280.19429718875506,64257600.551279545,1028.9924560391248
267,280.19429718875506,68273662.35105947,1030.684627923028
268,280.19429718875506,72289724.15083939,1032.3626564158521
269,280.19429718875506,76305785.9506193,1034.0267082252806
270,280.19429718875506,80321847.75039922,1035.6769496080346
271,280.19429718875506,84337909.55017912,1037.3135464352035
272,280.19429718875506,88353971.34995905,1038.9366642307612
273,280.19429718875506,92370033.14973897,1040.546468184255
274,280.19429718875506,96386094.94951887,1042.1431231476402
275,280.19429718875506,100402156.7492988,1043.7267936056314
276,280.19429718875506,104418218.5490787,1045.2976436394783
277,280.19429718875506,108434280.34885862,1046.8558368743643
278,280.19429718875506,112450342.14863855,1048.401536417523
279,280.19429718875506,116466403.94841845,1049.934904789263
280,280.19429718875506,120482465.74819838,1051.4561038477616
281,280.19429718875506,124498527.54797828,1052.9652947099783
282,280.19429718875506,128514589.3477582,1054.4626376701242
283,280.19429718875506,132530651.14753813,1055.9482921169847
284,280.19429718875506,136546712.94731802,1057.4224164512318
285,280.19429718875506,140562774.74709794,1058.8851680036971
286,280.19429718875506,144578836.54687786,1060.3367029558294
287,280.19429718875506,148594898.34665775,1061.7771762619404
288,280.19429718875506,152610960.14643767,1063.2067415754295
289,280.19429718875506,156627021.9462176,1064.6255511779182
290,280.19429718875506,160643083.74599752,1066.0337559127734
291,280.19429718875506,164659145.54577744,1067.4315051222086
292,280.19429718875506,168675207.34555733,1068.818946589532
293,280.19429718875506,172691269.14533725,1070.1962264852737
294,280.19429718875506,176707330.94511718,1071.563489317966
295,280.19429718875506,180723392.7448971,1072.9208778898192
296,280.19429718875506,184739454.54467702,1074.268533256442
297,280.19429718875506,188755516.3444569,1075.6065946912374
298,280.19429718875506,192771578.14423683,1076.9351996543598
299,280.19429718875506,196787639.94401675,1078.2544837653331
300,280.19429718875506,200803701.74379668,1079.5645807802982
301,280.19429718875506,204819763.5435766,1080.8656225728291
302,280.19429718875506,208835825.3433565,1082.1577391186256
303,280.19429718875506,212851887.1431364,1083.441058483677
304,280.19429718875506,216867948.94291633,1084.7157068159338
305,280.19429718875506,220884010.74269626,1085.98180834002
306,280.19429718875506,224900072.54247618,1087.2394853548922
307,280.19429718875506,228916134.34225607,1088.488858234587
308,280.19429718875506,232932196.142036,1089.7300454312135
309,280.19429718875506,236948257.9418159,1090.963163480766
310,280.19429718875506,240964319.74159583,1092.1883270106791
311,280.19429718875506,244980381.54137576,1093.4056487500927
312,280.19429718875506,248996443.34115565,1094.6152395415481
313,280.19429718875506,253012505.14093557,1095.8172083546042
314,280.19429718875506,257028566.9407155,1097.0116623011272
315,280.19429718875506,261044628.7404954,1098.1987066519266
316,280.19429718875506,265060690.54027534,1099.3784448548683
317,280.19429718875506,269076752.3400553,1100.5509785538495
318,280.19429718875506,273092814.1398352,1101.716407609308
319,280.19429718875506,277108875.9396151,1102.8748301192484
320,280.19429718875506,281124937.739395,1104.0263424414495
321,280.19429718875506,285140999.5391749,1105.1710392160264
322,280.19429718875506,289157061.33895487,1106.3090133891037
323,280.19429718875506,293173123.13873476,1107.4403562365312
324,280.19429718875506,297189184.93851465,1108.5651573885157
325,280.19429718875506,301205246.7382946,1109.6835048542903
326,280.19429718875506,305221308.5380745,1110.7954850473093
327,280.19429718875506,309237370.33785444,1111.9011828105345
328,280.19429718875506,313253432.13763434,1113.0006814421033
329,280.19429718875506,317269493.9374142,1114.0940627208608
330,280.19429718875506,321285555.7371942,1115.1814069322004
331,280.19429718875506,325301617.5369741,1116.262792893792
332,280.19429718875506,329317679.336754,1117.3382979812632
333,280.19429718875506,333333741.1365339,1118.4079981539653
334,280.19429718875506,337349802.9363138,1119.4719679805069
335,280.19429718875506,341365864.73609376,1120.5302806641848
336,280.19429718875506,345381926.53587365,1121.5830080682886
337,280.19429718875506,349397988.3356536,1122.6302207411345
338,280.19429718875506,353414050.1354335,1123.6719879410286
339,280.19429718875506,357430111.9352134,1124.7083776607662
340,280.19429718875506,361446173.73499334,1125.7394566521193
341,280.19429718875506,365462235.53477323,1126.7652904498852
342,280.19429718875506,369478297.3345532,1127.7859433956573
343,280.19429718875506,373494359.1343331,1128.8014786613821
344,280.19429718875506,377510420.93411297,1129.8119582724728
345,280.19429718875506,381526482.7338929,1130.8174431307389
346,280.19429718875506,385542544.5336728,1131.8179930367994
347,280.19429718875506,389558606.33345276,1132.8136667123576
348,280.19429718875506,393574668.13323265,1133.8045218219725
349,280.19429718875506,397590729.93301255,1134.7906149944881
350,280.19429718875506,401606791.7327925,1135.7720018442096
351,280.19429718875506,405622853.5325724,1136.748736991605
352,280.19429718875506,409638915.33235234,1137.7208740837175
353,280.19429718875506,413654977.13213223,1138.6884658141557
354,280.19429718875506,417671038.9319121,1139.651563942758
355,280.19429718875506,421687100.7316921,1140.6102193148922
356,280.19429718875506,425703162.53147197,1141.5644818803623
357,280.19429718875506,429719224.3312519,1142.5144007120005
358,280.19429718875506,433735286.1310318,1143.4600240238371
359,280.19429718875506,437751347.9308117,1144.4013991889603
360,280.19429718875506,441767409.73059165,1145.338572757046
361,280.19429718875506,445783471.53037155,1146.2715904714375
362,280.19429718875506,449799533.3301515,1147.200497285987
363,280.19429718875506,453815595.1299314,1148.1253373814748
364,280.19429718875506,457831656.9297113,1149.0461541817726
365,280.19429718875506,461847718.72949123,1149.962990369524
366,280.19429718875506,465863780.5292711,1150.8758879017066
367,280.19429718875506,469879842.3290511,1151.7848880246772
368,280.19429718875506,473895904.12883097,1152.6900312889866
369,280.19429718875506,477911965.92861086,1153.5913575638774
370,280.19429718875506,481928027.7283908,1154.4889060514204
371,280.19429718875506,485944089.5281707,1155.3827153004756
372,280.19429718875506,489960151.32795066,1156.2728232201023
373,280.19429718875506,493976213.12773055,1157.1592670929947
374,280.19429718875506,497992274.92751044,1158.0420835883579
375,280.19429718875506,502008336.7272904,1158.9213087746436
376,280.19429718875506,506024398.5270703,1159.796978131976
377,280.19429718875506,510040460.32685024,1160.6691265642617
378,280.19429718875506,514056522.1266301,1161.5377884111226
379,280.19429718875506,518072583.92641,1162.4029974594416
380,280.19429718875506,522088645.72619,1163.264786954776
381,280.19429718875506,526104707.52596986,1164.1231896124168
382,280.19429718875506,530120769.3257498,1164.978237628291
383,280.19429718875506,534136831.1255297,1165.8299626895223
384,280.19429718875506,538152892.9253097,1166.6783959848424
385,280.19429718875506,542168954.7250896,1167.523568214723
386,280.19429718875506,546185016.5248694,1168.3655096012958
387,280.19429718875506,550201078.3246493,1169.2042498980368
388,280.19429718875506,554217140.1244292,1170.039818399257
389,280.19429718875506,558233201.9242092,1170.872243949356
390,280.19429718875506,562249263.7239891,1171.701554951876
391,280.19429718875506,566265325.523769,1172.5277793783687
392,280.19429718875506,570281387.3235489,1173.35094477703
393,280.19429718875506,574297449.1233288,1174.1710782811692
394,280.19429718875506,578313510.9231088,1174.988206617479
395,280.19429718875506,582329572.7228887,1175.8023561141113
396,280.19429718875506,586345634.5226686,1176.6135527085858
397,280.19429718875506,590361696.3224485,1177.4218219555116
398,280.19429718875506,594377758.1222284,1178.2271890341422
399,280.19429718875506,598393819.9220084,1179.0296787557324
400,280.19429718875506,602409881.7217883,1179.8293155708054
401,280.19429718875506,606425943.5215682,1180.6261235761565
402,280.19429718875506,610442005.3213481,1181.4201265217675
403,280.19429718875506,614458067.121128,1182.211347817562
404,280.19429718875506,618474128.920908,1182.9998105399832
405,280.19429718875506,622490190.7206879,1183.7855374384444
406,280.19429718875506,626506252.5204678,1184.5685509416066
407,280.19429718875506,630522314.3202477,1185.348873163596
408,280.19429718875506,634538376.1200275,1186.1265259099666
409,280.19429718875506,638554437.9198076,1186.9015306836739
410,280.19429718875506,642570499.7195874,1187.6739086905982
411,280.19429718875506,646586561.5193673,1188.443680845543
412,280.19429718875506,650602623.3191472,1189.2108677774875
413,280.19429718875506,654618685.1189271,1189.9754898350275
414,280.19429718875506,658634746.9187071,1190.737567091664
415,280.19429718875506,662650808.718487,1191.4971193509332
416,280.19429718875506,666666870.5182669,1192.2541661514515
417,280.19429718875506,670682932.3180468,1193.0087267718523
418,280.19429718875506,674698994.1178267,1193.7608202355777
419,280.19429718875506,678715055.9176067,1194.5104653156193
420,280.19429718875506,682731117.7173866,1195.2576805391127
421,280.19429718875506,686747179.5171665,1196.0024841918655
422,280.19429718875506,690763241.3169464,1196.7448943227391
423,280.19429718875506,694779303.1167263,1197.4849287479929
424,280.19429718875506,698795364.9165063,1198.2226050554923
425,280.19429718875506,702811426.7162862,1198.9579406088487
426,280.19429718875506,706827488.5160661,1199.6909525514366
427,280.19429718875506,710843550.315846,1200.4216578103906
428,280.19429718875506,714859612.1156259,1201.1500731004342
429,280.19429718875506,718875673.9154059,1201.8762149276968
430,280.19429718875506,722891735.7151858,1202.6000995933878
431,280.19429718875506,726907797.5149657,1203.3217431974592
432,280.19429718875506,730923859.3147455,1204.0411616421184
433,280.19429718875506,734939921.1145254,1204.7583706353378
434,280.19429718875506,738955982.9143054,1205.4733856942134
435,280.19429718875506,742972044.7140853,1206.1862221483302
436,280.19429718875506,746988106.5138652,1206.896895142989
437,280.19429718875506,751004168.3136451,1207.6054196424182
438,280.19429718875506,755020230.113425,1208.3118104328798
439,280.19429718875506,759036291.913205,1209.016082125727
440,280.19429718875506,763052353.7129849,1209.7182491604046
441,280.19429718875506,767068415.5127648,1210.4183258073663
442,280.19429718875506,771084477.3125447,1211.1163261709462
443,280.19429718875506,775100539.1123246,1211.8122641921702
444,280.19429718875506,779116600.9121046,1212.5061536515086
445,280.19429718875506,783132662.7118845,1213.1980081715544
446,280.19429718875506,787148724.5116644,1213.8878412196698
447,280.19429718875506,791164786.3114443,1214.5756661105768
448,280.19429718875506,795180848.1112242,1215.2614960088672
449,280.19429718875506,799196909.9110042,1215.9453439315064
450,280.19429718875506,803212971.7107841,1216.6272227502277
451,280.19429718875506,807229033.510564,1217.3071451939413
452,280.19429718875506,811245095.3103439,1217.9851238510437
453,280.19429718875506,815261157.1101238,1218.6611711717048
454,280.19429718875506,819277218.9099038,1219.3352994701024
455,280.19429718875506,823293280.7096837,1220.007520926613
456,280.19429718875506,827309342.5094635,1220.6778475899607
457,280.19429718875506,831325404.3092434,1221.3462913793167
458,280.19429718875506,835341466.1090233,1222.0128640863607
459,280.19429718875506,839357527.9088033,1222.677577377295
460,280.19429718875506,843373589.7085832,1223.3404427948387
461,280.19429718875506,847389651.5083631,1224.0014717601498
462,280.19429718875506,851405713.308143,1224.6606755747396
463,280.19429718875506,855421775.1079229,1225.3180654223231
464,280.19429718875506,859437836.9077029,1225.9736523706638
465,280.19429718875506,863453898.7074828,1226.6274473733536
466,280.19429718875506,867469960.5072627,1227.2794612715604
467,280.19429718875506,871486022.3070426,1227.9297047957643
468,280.19429718875506,875502084.1068225,1228.5781885674428
469,280.19429718875506,879518145.9066025,1229.224923100721
470,280.19429718875506,883534207.7063824,1229.8699188039877
471,280.19429718875506,887550269.5061623,1230.5131859815085
472,280.19429718875506,891566331.3059422,1231.1547348349677
473,280.19429718875506,895582393.1057221,1231.794575464992
474,280.19429718875506,899598454.9055021,1232.4327178726808
475,280.19429718875506,903614516.705282,1233.0691719610497
476,280.19429718875506,907630578.5050619,1233.7039475364957
477,280.19429718875506,911646640.3048418,1234.3370543101912
478,280.19429718875506,915662702.1046216,1234.9685018995003
479,280.19429718875506,919678763.9044017,1235.5982998293275
480,280.19429718875506,923694825.7041816,1236.2264575334511
481,280.19429718875506,927710887.5039614,1236.852984355842
482,280.19429718875506,931726949.3037413,1237.4778895519605
483,280.19429718875506,935743011.1035212,1238.1011822900077
484,280.19429718875506,939759072.9033012,1238.7228716521654
485,280.19429718875506,943775134.7030811,1239.3429666358227
486,280.19429718875506,947791196.502861,1239.9614761547662
487,280.19429718875506,951807258.3026409,1240.5784090403522
488,280.19429718875506,955823320.1024208,1241.1937740426572
489,280.19429718875506,959839381.9022008,1241.8075798316077
