,T,P,G
251,280.19429718875506,4016673.554580813,3635.0349070041552
252,280.19429718875506,8032735.3543607285,7640.0451778039505
253,280.19429718875506,12048797.154140644,11637.414174480853
254,280.19429718875506,16064858.95392056,15627.237443350085
255,280.19429718875506,20080920.753700476,19609.6087956986
256,280.19429718875506,24096982.55348039,23584.62036206399
257,280.19429718875506,28113044.35326031,27552.362643030312
258,280.19429718875506,32129106.153040223,31512.924553260033
259,280.19429718875506,36145167.95282014,35466.393466464084
260,280.19429718875506,40161229.75260005,39412.855251324305
261,280.19429718875506,44177291.552379966,43352.394309858726
262,280.19429718875506,48193353.35215988,47285.0936089448
263,280.19429718875506,52209415.151939794,51211.03471098569
264,280.19429718875506,56225476.951719716,55130.29780288943
265,280.19429718875506,60241538.75149963,59042.96172239509
266,280.19429718875506,64257600.551279545,62949.10398258742
267,280.19429718875506,68273662.35105947,66848.80079559401
268,280.19429718875506,72289724.15083939,70742.12709447641
269,280.19429718875506,76305785.9506193,74629.1565540772
270,280.19429718875506,80321847.75039922,78509.96161180444
271,280.19429718875506,84337909.55017912,82384.6134862677
272,280.19429718875506,88353971.34995905,86253.18219632511
273,280.19429718875506,92370033.14973897,90115.73657708401
274,280.19429718875506,96386094.94951887,93972.34430588393
275,280.19429718875506,100402156.7492988,97823.07190769397
276,280.19429718875506,104418218.5490787,101667.98478034038
277,280.19429718875506,108434280.34885862,105507.14720957125
278,280.19429718875506,112450342.14863855,109340.62238489906
279,280.19429718875506,116466403.94841845,113168.47241704755
280,280.19429718875506,120482465.74819838,116990.75835444515
281,280.19429718875506,124498527.54797828,120807.54019976678
282,280.19429718875506,128514589.3477582,124618.8769256714
283,280.19429718875506,132530651.14753813,128424.82649168144
284,280.19429718875506,136546712.94731802,132225.44586068692
285,280.19429718875506,140562774.74709794,136020.79101415817
286,280.19429718875506,144578836.54687786,139810.91697005913
287,280.19429718875506,148594898.34665775,143595.8777973541
288,280.19429718875506,152610960.14643767,147375.72663298258
289,280.19429718875506,156627021.9462176,151150.51569790175
290,280.19429718875506,160643083.74599752,154920.29631310198
291,280.19429718875506,164659145.54577744,158685.118914728
292,280.19429718875506,168675207.34555733,162445.0330713777
293,280.19429718875506,172691269.14533725,166200.08749859832
294,280.19429718875506,176707330.94511718,169950.33007487786
295,280.19429718875506,180723392.7448971,173695.80785749407
296,280.19429718875506,184739454.54467702,177436.56709744674
297,280.19429718875506,188755516.3444569,181172.6532548505
298,280.19429718875506,192771578.14423683,184904.11101420617
299,280.19429718875506,196787639.94401675,188630.98429907422
300,280.19429718875506,200803701.74379668,192353.31628700104
301,280.19429718875506,204819763.5435766,196071.1494238386
302,280.19429718875506,208835825.3433565,199784.52543879824
303,280.19429718875506,212851887.1431364,203493.4853577573
304,280.19429718875506,216867948.94291633,207198.0695180262
305,280.19429718875506,220884010.74269626,210898.3175817952
306,280.19429718875506,224900072.54247618,214594.2685497863
307,280.19429718875506,228916134.34225607,218285.96077475522
308,280.19429718875506,232932196.142036,221973.43197447606
309,280.19429718875506,236948257.9418159,225656.71924520825
310,280.19429718875506,240964319.74159583,229335.85907350047
311,280.19429718875506,244980381.54137576,233010.88734967358
312,280.19429718875506,248996443.34115565,236681.8393795191
313,280.19429718875506,253012505.14093557,240348.7498967879
314,280.19429718875506,257028566.9407155,244011.65307449058
315,280.19429718875506,261044628.7404954,247670.5825370427
316,280.19429718875506,265060690.54027534,251325.57137162233
317,280.19429718875506,269076752.3400553,254976.65213860804
318,280.19429718875506,273092814.1398352,258623.85688370522
319,280.19429718875506,277108875.9396151,262267.2171474925
320,280.19429718875506,281124937.739395,265906.7639770875
321,280.19429718875506,285140999.5391749,269542.527935191
322,280.19429718875506,289157061.33895487,273174.5391113601
