,T,P,U
251,280.19429718875506,4016673.554580813,29557.071110918583
252,280.19429718875506,8032735.3543607285,29498.09417791361
253,280.19429718875506,12048797.154140644,29434.767941763956
254,280.19429718875506,16064858.95392056,29367.21627258658
255,280.19429718875506,20080920.753700476,29295.56211184466
256,280.19429718875506,24096982.55348039,29219.927452505504
257,280.19429718875506,28113044.35326031,29140.433327425122
258,280.19429718875506,32129106.153040223,29057.199802308525
259,280.19429718875506,36145167.95282014,28970.345967389538
260,280.19429718875506,40161229.75260005,28879.989927885224
261,280.19429718875506,44177291.552379966,28786.248788236233
262,280.19429718875506,48193353.35215988,28689.238631746368
263,280.19429718875506,52209415.151939794,28589.074493249766
264,280.19429718875506,56225476.951719716,28485.8703254359
265,280.19429718875506,60241538.75149963,28379.73895900327
266,280.19429718875506,64257600.551279545,28270.79205777515
267,280.19429718875506,68273662.35105947,28159.140068777157
268,280.19429718875506,72289724.15083939,28044.89216891324
269,280.19429718875506,76305785.9506193,27928.156208424447
270,280.19429718875506,80321847.75039922,27809.038653107877
271,280.19429718875506,84337909.55017912,27687.64452524759
272,280.19429718875506,88353971.34995905,27564.077345605212
273,280.19429718875506,92370033.14973897,27438.439075153743
274,280.19429718875506,96386094.94951887,27310.830059399184
275,280.19429718875506,100402156.7492988,27181.348975271638
276,280.19429718875506,104418218.5490787,27050.092780389354
277,280.19429718875506,108434280.34885862,26917.156666016148
278,280.19429718875506,112450342.14863855,26782.634014260417
279,280.19429718875506,116466403.94841845,26646.616359187978
280,280.19429718875506,120482465.74819838,26509.193352062754
281,280.19429718875506,124498527.54797828,26370.452731297722
282,280.19429718875506,128514589.3477582,26230.480297547074
283,280.19429718875506,132530651.14753813,26089.359892434073
284,280.19429718875506,136546712.94731802,25947.173382208402
285,280.19429718875506,140562774.74709794,25804.00064658917
286,280.19429718875506,144578836.54687786,25659.919570590657
287,280.19429718875506,148594898.34665775,25515.006041575343
288,280.19429718875506,152610960.14643767,25369.333950252898
289,280.19429718875506,156627021.9462176,25222.975194601346
290,280.19429718875506,160643083.74599752,25075.99968857105
291,280.19429718875506,164659145.54577744,24928.475373318353
292,280.19429718875506,168675207.34555733,24780.46823154217
293,280.19429718875506,172691269.14533725,24632.042305443614
294,280.19429718875506,176707330.94511718,24483.259716434437
295,280.19429718875506,180723392.7448971,24334.180687866152
296,280.19429718875506,184739454.54467702,24184.863569648296
297,280.19429718875506,188755516.3444569,24035.364864845422
298,280.19429718875506,192771578.14423683,23885.73925834496
299,280.19429718875506,196787639.94401675,23736.039646440946
300,280.19429718875506,200803701.74379668,23586.317168428657
301,280.19429718875506,204819763.5435766,23436.62123900294
302,280.19429718875506,208835825.3433565,23286.999581386506
303,280.19429718875506,212851887.1431364,23137.498262028806
304,280.19429718875506,216867948.94291633,22988.16172526959
305,280.19429718875506,220884010.74269626,22839.032828810454
306,280.19429718875506,224900072.54247618,22690.15287940705
307,280.19429718875506,228916134.34225607,22541.56166922313
308,280.19429718875506,232932196.142036,22393.29751183708
309,280.19429718875506,236948257.9418159,22245.397278569682
310,280.19429718875506,240964319.74159583,22097.89643483444
311,280.19429718875506,244980381.54137576,21950.829076103266
312,280.19429718875506,248996443.34115565,21804.227963949364
313,280.19429718875506,253012505.14093557,21658.124561381108
314,280.19429718875506,257028566.9407155,21512.549068562115
315,280.19429718875506,261044628.7404954,21367.530457283567
316,280.19429718875506,265060690.54027534,21223.09650564929
317,280.19429718875506,269076752.3400553,21079.273832062932
