,V,T,U
1,1.5012598228348097e-05,280.19429718875506,10977.36747233609
2,1.5012598228348097e-05,287.12859437751007,34175.33672016177
3,1.5012598228348097e-05,294.0628915662651,57808.61468524961
4,1.5012598228348097e-05,300.99718875502015,81668.50257377798
5,1.5012598228348097e-05,307.93148594377516,105615.70594228485
6,1.5012598228348097e-05,314.86578313253017,129557.48407029903
7,1.5012598228348097e-05,321.8000803212852,153432.6651278718
8,1.5012598228348097e-05,328.7343775100402,177201.686616242
9,1.5012598228348097e-05,335.66867469879526,200839.88836995294
10,1.5012598228348097e-05,342.60297188755027,224332.93854114795
11,1.5012598228348097e-05,349.5372690763053,247673.67691989188
12,1.5012598228348097e-05,356.4715662650603,270859.9125285445
13,1.5012598228348097e-05,363.4058634538153,293892.87213005906
14,1.5012598228348097e-05,370.34016064257037,316776.0984014527
15,1.5012598228348097e-05,377.2744578313253,339514.66255819943
16,1.5012598228348097e-05,384.2087550200804,362114.5994160394
17,1.5012598228348097e-05,391.1430522088354,384582.5014751383
18,1.5012598228348097e-05,398.0773493975904,406925.22777165915
19,1.5012598228348097e-05,405.0116465863455,429149.696236234
20,1.5012598228348097e-05,411.94594377510043,451262.7372204857
21,1.5012598228348097e-05,418.8802409638555,473270.9920535539
22,1.5012598228348097e-05,425.8145381526105,495180.84485328814
23,1.5012598228348097e-05,432.7488353413655,516998.37892238185
24,1.5012598228348097e-05,439.68313253012053,538729.3512961125
25,1.5012598228348097e-05,446.61742971887554,560379.1806362561
26,1.5012598228348097e-05,453.5517269076306,581952.9448625479
27,1.5012598228348097e-05,460.48602409638556,603455.385801354
28,1.5012598228348097e-05,467.42032128514063,624890.9187958027
29,1.5012598228348097e-05,474.35461847389564,646263.6457226572
30,1.5012598228348097e-05,481.28891566265065,667577.370241154
31,1.5012598228348097e-05,488.2232128514057,688835.6143887952
32,1.5012598228348097e-05,495.1575100401607,710041.6358607742
33,1.5012598228348097e-05,502.09180722891574,731198.4454801772
34,1.5012598228348097e-05,509.02610441767075,752308.8244969342
35,1.5012598228348097e-05,515.9604016064258,773375.3414543548
36,1.5012598228348097e-05,522.8946987951808,794400.3684397417
37,1.5012598228348097e-05,529.8289959839358,815386.0965949721
38,1.5012598228348097e-05,536.7632931726909,836334.5508085411
39,1.5012598228348097e-05,543.6975903614459,857247.6035452003
40,1.5012598228348097e-05,550.6318875502009,878126.9877954429
41,1.5012598228348097e-05,557.5661847389558,898974.3091465747
42,1.5012598228348097e-05,564.5004819277109,919791.0569915182
43,1.5012598228348097e-05,571.434779116466,940578.6149017134
44,1.5012598228348097e-05,578.3690763052209,961338.2701977987
45,1.5012598228348097e-05,585.303373493976,982071.2227563527
46,1.5012598228348097e-05,592.237670682731,1002778.593094113
47,1.5012598228348097e-05,599.171967871486,1023461.4297723204
48,1.5012598228348097e-05,606.106265060241,1044120.716164505
49,1.5012598228348097e-05,613.040562248996,1064757.3766304262
50,1.5012598228348097e-05,619.9748594377511,1085372.2821380415
51,1.5012598228348097e-05,626.909156626506,1105966.2553738845
52,1.5012598228348097e-05,633.8434538152611,1126540.0753805977
53,1.5012598228348097e-05,640.7777510040162,1147094.4817584285
54,1.5012598228348097e-05,647.7120481927711,1167630.1784655137
55,1.5012598228348097e-05,654.6463453815261,1188147.8372497337
56,1.5012598228348097e-05,661.5806425702813,1208648.1007428824
57,1.5012598228348097e-05,668.5149397590362,1229131.5852457446
58,1.5012598228348097e-05,675.4492369477912,1249598.8832309006
59,1.5012598228348097e-05,682.3835341365462,1270050.5655879555
60,1.5012598228348097e-05,689.3178313253013,1290487.1836341885
61,1.5012598228348097e-05,696.2521285140563,1310909.2709118808
62,1.5012598228348097e-05,703.1864257028113,1331317.3447918359
63,1.5012598228348097e-05,710.1207228915664,1351711.9079011718
64,1.5012598228348097e-05,717.0550200803214,1372093.4493919832
65,1.5012598228348097e-05,723.9893172690763,1392462.4460660357
66,1.5012598228348097e-05,730.9236144578314,1412819.363369524
67,1.5012598228348097e-05,737.8579116465864,1433164.6562706388
68,1.5012598228348097e-05,744.7922088353414,1453498.770031653
69,1.5012598228348097e-05,751.7265060240965,1473822.1408862013
70,1.5012598228348097e-05,758.6608032128515,1494135.19663153
71,1.5012598228348097e-05,765.5951004016065,1514438.3571445944
72,1.5012598228348097e-05,772.5293975903614,1534732.0348300633
73,1.5012598228348097e-05,779.4636947791166,1555016.6350076918
