Date,Time,KW
42164.00,0.28,3561.60
42164.00,0.29,3561.60
42164.00,0.30,3494.40
42164.00,0.31,3561.60
42164.00,0.32,3595.20
42164.00,0.33,3628.80
42164.00,0.34,3662.40
42164.00,0.35,3628.80
42164.00,0.36,3729.60
42164.00,0.37,3729.60
42164.00,0.39,3729.60
42164.00,0.40,3796.80
42164.00,0.41,3830.40
42164.00,0.42,3897.60
42164.00,0.43,3964.80
42164.00,0.44,3998.40
42164.00,0.45,4032.00
42164.00,0.46,3964.80
42164.00,0.47,3897.60
42164.00,0.48,3998.40
42164.00,0.49,3964.80
42164.00,0.50,4032.00
42164.00,0.51,4032.00
42164.00,0.52,3931.20
42164.00,0.53,4032.00
42164.00,0.54,4099.20
42164.00,0.55,4032.00
42164.00,0.56,3998.40
42164.00,0.57,3998.40
42164.00,0.58,4032.00
42164.00,0.59,3998.40
42164.00,0.60,4099.20
42164.00,0.61,4032.00
42164.00,0.62,4099.20
42164.00,0.64,4065.60
42164.00,0.65,4166.40
42164.00,0.66,4166.40
42164.00,0.67,4032.00
42164.00,0.68,3964.80
42164.00,0.69,3830.40
42164.00,0.70,3830.40
42164.00,0.71,3830.40
42164.00,0.72,3864.00
42164.00,0.73,3897.60
42164.00,0.74,3864.00
42164.00,0.75,3830.40
42164.00,0.76,3796.80
42164.00,0.77,3796.80
42164.00,0.78,3696.00
42164.00,0.79,3662.40
42164.00,0.80,3561.60
42164.00,0.81,3561.60
42164.00,0.82,3628.80
42164.00,0.83,3628.80
42164.00,0.84,3561.60
42164.00,0.85,3595.20
42164.00,0.86,3561.60
42164.00,0.87,3494.40
42164.00,0.89,3460.80
42164.00,0.90,3326.40
42164.00,0.91,3259.20
42164.00,0.92,3292.80
42164.00,0.93,3292.80
42164.00,0.94,3326.40
42164.00,0.95,3292.80
42164.00,0.96,3292.80
42164.00,0.97,3360.00
42164.00,0.98,3292.80
42164.00,0.99,3292.80
42164.00,1.00,3259.20
42165.00,0.01,3192.00
42165.00,0.02,3192.00
42165.00,0.03,3292.80
42165.00,0.04,3259.20
42165.00,0.05,3158.40
42165.00,0.06,3158.40
42165.00,0.07,3091.20
42165.00,0.08,3124.80
42165.00,0.09,3158.40
42165.00,0.10,3091.20
42165.00,0.11,3124.80
42165.00,0.12,3024.00
42165.00,0.14,3091.20
42165.00,0.15,3192.00
42165.00,0.16,3225.60
42165.00,0.17,3225.60
42165.00,0.18,3225.60
42165.00,0.19,3225.60
42165.00,0.20,3192.00
42165.00,0.21,3158.40
42165.00,0.22,3393.60
42165.00,0.23,3427.20
42165.00,0.24,3528.00
42165.00,0.25,3528.00
42165.00,0.26,3561.60
42165.00,0.27,3628.80
42165.00,0.28,3595.20
42165.00,0.29,3628.80
42165.00,0.30,3595.20
42165.00,0.31,3595.20
42165.00,0.32,3561.60
42165.00,0.33,3561.60
42165.00,0.34,3628.80
42165.00,0.35,3796.80
42165.00,0.36,3729.60
42165.00,0.37,3830.40
42165.00,0.39,3830.40
42165.00,0.40,3830.40
42165.00,0.41,3830.40
42165.00,0.42,3460.80
42165.00,0.43,2520.00
42165.00,0.44,3796.80
42165.00,0.45,3729.60
42165.00,0.46,3796.80
42165.00,0.47,3796.80
42165.00,0.48,3864.00
42165.00,0.49,3897.60
42165.00,0.50,3864.00
42165.00,0.51,3830.40
42165.00,0.52,3864.00
42165.00,0.53,3796.80
42165.00,0.54,3763.20
42165.00,0.55,3796.80
42165.00,0.56,3864.00
42165.00,0.57,3897.60
42165.00,0.58,3796.80
42165.00,0.59,3897.60
42165.00,0.60,3897.60
42165.00,0.61,3864.00
42165.00,0.62,3897.60
42165.00,0.64,3931.20
42165.00,0.65,3964.80
42165.00,0.66,3897.60
42165.00,0.67,3864.00
42165.00,0.68,3763.20
42165.00,0.69,3696.00
42165.00,0.70,3729.60
42165.00,0.71,3662.40
42165.00,0.72,3662.40
42165.00,0.73,3729.60
42165.00,0.74,3662.40
42165.00,0.75,3696.00
42165.00,0.76,3628.80
42165.00,0.77,3662.40
42165.00,0.78,3662.40
42165.00,0.79,3561.60
42165.00,0.80,3528.00
42165.00,0.81,3595.20
42165.00,0.82,3595.20
42165.00,0.83,3561.60
42165.00,0.84,3561.60
